gene_id	gene	ensembl_display_name	chromosome	start	end	strand	source	assembly
ENSG00000142583	SLC2A5	SLC2A5	1	9035106	9088478	-1	Ensembl REST lookup/id	GRCh38
ENSG00000180758	GPR157	GPR157	1	9100305	9129122	-1	Ensembl REST lookup/id	GRCh38
ENSG00000169442	CD52	CD52	1	26317958	26320523	1	Ensembl REST lookup/id	GRCh38
ENSG00000134668	SPOCD1	SPOCD1	1	31790422	31816022	-1	Ensembl REST lookup/id	GRCh38
ENSG00000162631	NTNG1	NTNG1	1	107140007	107484923	1	Ensembl REST lookup/id	GRCh38
ENSG00000143110	C1orf162	C1orf162	1	111473792	111478512	1	Ensembl REST lookup/id	GRCh38
ENSG00000121933	TMIGD3	TMIGD3	1	111483348	111563962	-1	Ensembl REST lookup/id	GRCh38
ENSG00000116824	CD2	CD2	1	116754370	116769229	1	Ensembl REST lookup/id	GRCh38
ENSG00000150337	FCGR1A	FCGR1A	1	149782650	149792526	1	Ensembl REST lookup/id	GRCh38
ENSG00000163131	CTSS	CTSS	1	150730079	150765957	-1	Ensembl REST lookup/id	GRCh38
ENSG00000196154	S100A4	S100A4	1	153543613	153550136	-1	Ensembl REST lookup/id	GRCh38
ENSG00000132692	BCAN	BCAN	1	156641390	156659532	1	Ensembl REST lookup/id	GRCh38
ENSG00000132688	NES	NES	1	156668763	156677407	-1	Ensembl REST lookup/id	GRCh38
ENSG00000158477	CD1A	CD1A	1	158254424	158258269	1	Ensembl REST lookup/id	GRCh38
ENSG00000179639	FCER1A	FCER1A	1	159289714	159308224	1	Ensembl REST lookup/id	GRCh38
ENSG00000162736	NCSTN	NCSTN	1	160343294	160358957	1	Ensembl REST lookup/id	GRCh38
ENSG00000117091	CD48	CD48	1	160678746	160711831	-1	Ensembl REST lookup/id	GRCh38
ENSG00000026751	SLAMF7	SLAMF7	1	160739057	160754821	1	Ensembl REST lookup/id	GRCh38
ENSG00000158869	FCER1G	FCER1G	1	161215234	161220699	1	Ensembl REST lookup/id	GRCh38
ENSG00000203747	FCGR3A	FCGR3A	1	161541759	161550968	-1	Ensembl REST lookup/id	GRCh38
ENSG00000162747	FCGR3B	FCGR3B	1	161623196	161631963	-1	Ensembl REST lookup/id	GRCh38
ENSG00000162733	DDR2	DDR2	1	162630863	162787405	1	Ensembl REST lookup/id	GRCh38
ENSG00000117560	FASLG	FASLG	1	172659102	172666876	1	Ensembl REST lookup/id	GRCh38
ENSG00000143333	RGS16	RGS16	1	182598623	182604394	-1	Ensembl REST lookup/id	GRCh38
ENSG00000162670	BRINP3	BRINP3	1	190097658	190478404	-1	Ensembl REST lookup/id	GRCh38
ENSG00000081237	PTPRC	PTPRC	1	198629900	198759346	1	Ensembl REST lookup/id	GRCh38
ENSG00000133048	CHI3L1	CHI3L1	1	203178931	203186796	-1	Ensembl REST lookup/id	GRCh38
ENSG00000184144	CNTN2	CNTN2	1	205042937	205078289	1	Ensembl REST lookup/id	GRCh38
ENSG00000117707	PROX1	PROX1	1	213982711	214041510	1	Ensembl REST lookup/id	GRCh38
ENSG00000117724	CENPF	CENPF	1	214603172	214664574	1	Ensembl REST lookup/id	GRCh38
ENSG00000092969	TGFB2	TGFB2	1	218345336	218444619	1	Ensembl REST lookup/id	GRCh38
ENSG00000143801	PSEN2	PSEN2	1	226870184	226927726	1	Ensembl REST lookup/id	GRCh38
ENSG00000180287	PLD5	PLD5	1	242082986	242524697	-1	Ensembl REST lookup/id	GRCh38
ENSG00000130508	PXDN	PXDN	2	1631887	1744852	-1	Ensembl REST lookup/id	GRCh38
ENSG00000176887	SOX11	SOX11	2	5692384	5701385	1	Ensembl REST lookup/id	GRCh38
ENSG00000075426	FOSL2	FOSL2	2	28392448	28417317	1	Ensembl REST lookup/id	GRCh38
ENSG00000171094	ALK	ALK	2	29192774	29921586	-1	Ensembl REST lookup/id	GRCh38
ENSG00000115956	PLEK	PLEK	2	68365282	68397453	1	Ensembl REST lookup/id	GRCh38
ENSG00000115353	TACR1	TACR1	2	75046463	75199520	-1	Ensembl REST lookup/id	GRCh38
ENSG00000042493	CAPG	CAPG	2	85393587	85422017	-1	Ensembl REST lookup/id	GRCh38
ENSG00000115523	GNLY	GNLY	2	85685175	85698852	1	Ensembl REST lookup/id	GRCh38
ENSG00000172005	MAL	MAL	2	95025677	95054932	1	Ensembl REST lookup/id	GRCh38
ENSG00000115008	IL1A	IL1A	2	112773925	112784493	-1	Ensembl REST lookup/id	GRCh38
ENSG00000125538	IL1B	IL1B	2	112829751	112836816	-1	Ensembl REST lookup/id	GRCh38
ENSG00000136717	BIN1	BIN1	2	127048017	127107556	-1	Ensembl REST lookup/id	GRCh38
ENSG00000121966	CXCR4	CXCR4	2	136114349	136119177	-1	Ensembl REST lookup/id	GRCh38
ENSG00000144229	THSD7B	THSD7B	2	136765545	137677718	1	Ensembl REST lookup/id	GRCh38
ENSG00000144227	NXPH2	NXPH2	2	138669157	138780390	-1	Ensembl REST lookup/id	GRCh38
ENSG00000150556	LYPD6B	LYPD6B	2	149037975	149215262	1	Ensembl REST lookup/id	GRCh38
ENSG00000187123	LYPD6	LYPD6	2	149329985	149474139	1	Ensembl REST lookup/id	GRCh38
ENSG00000153234	NR4A2	NR4A2	2	156324432	156342348	-1	Ensembl REST lookup/id	GRCh38
ENSG00000136541	ERMN	ERMN	2	157318626	157327713	-1	Ensembl REST lookup/id	GRCh38
ENSG00000115165	CYTIP	CYTIP	2	157409360	157491093	-1	Ensembl REST lookup/id	GRCh38
ENSG00000241399	CD302	CD302	2	159768628	159798255	-1	Ensembl REST lookup/id	GRCh38
ENSG00000128683	GAD1	GAD1	2	170813213	170861151	1	Ensembl REST lookup/id	GRCh38
ENSG00000064989	CALCRL	CALCRL	2	187341946	187448506	-1	Ensembl REST lookup/id	GRCh38
ENSG00000163599	CTLA4	CTLA4	2	203853888	203873965	1	Ensembl REST lookup/id	GRCh38
ENSG00000163600	ICOS	ICOS	2	203936763	203961577	1	Ensembl REST lookup/id	GRCh38
ENSG00000138413	IDH1	IDH1	2	208236224	208266095	-1	Ensembl REST lookup/id	GRCh38
ENSG00000030419	IKZF2	IKZF2	2	212999691	213152427	-1	Ensembl REST lookup/id	GRCh38
ENSG00000174453	VWC2L	VWC2L	2	214411054	214578976	1	Ensembl REST lookup/id	GRCh38
ENSG00000115461	IGFBP5	IGFBP5	2	216672105	216695549	-1	Ensembl REST lookup/id	GRCh38
ENSG00000135929	CYP27A1	CYP27A1	2	218781738	218815293	1	Ensembl REST lookup/id	GRCh38
ENSG00000115009	CCL20	CCL20	2	227805739	227817564	1	Ensembl REST lookup/id	GRCh38
ENSG00000153820	SPHKAP	SPHKAP	2	227979955	228181687	-1	Ensembl REST lookup/id	GRCh38
ENSG00000187957	DNER	DNER	2	229357629	229714581	-1	Ensembl REST lookup/id	GRCh38
ENSG00000115468	EFHD1	EFHD1	2	232606057	232682781	1	Ensembl REST lookup/id	GRCh38
ENSG00000144485	HES6	HES6	2	238238267	238240662	-1	Ensembl REST lookup/id	GRCh38
ENSG00000131378	RFTN1	RFTN1	3	16313574	16514026	-1	Ensembl REST lookup/id	GRCh38
ENSG00000168329	CX3CR1	CX3CR1	3	39263495	39281735	-1	Ensembl REST lookup/id	GRCh38
ENSG00000168314	MOBP	MOBP	3	39467172	39529479	1	Ensembl REST lookup/id	GRCh38
ENSG00000187094	CCK	CCK	3	42257823	42266185	-1	Ensembl REST lookup/id	GRCh38
ENSG00000010282	HHATL	HHATL	3	42692661	42703260	-1	Ensembl REST lookup/id	GRCh38
ENSG00000114646	CSPG5	CSPG5	3	47562238	47580792	-1	Ensembl REST lookup/id	GRCh38
ENSG00000010327	STAB1	STAB1	3	52495337	52524512	1	Ensembl REST lookup/id	GRCh38
ENSG00000163630	SYNPR	SYNPR	3	63228315	63616924	1	Ensembl REST lookup/id	GRCh38
ENSG00000144824	PHLDB2	PHLDB2	3	111732403	111976837	1	Ensembl REST lookup/id	GRCh38
ENSG00000184307	ZDHHC23	ZDHHC23	3	113947901	113965401	1	Ensembl REST lookup/id	GRCh38
ENSG00000181847	TIGIT	TIGIT	3	114276913	114310288	1	Ensembl REST lookup/id	GRCh38
ENSG00000114013	CD86	CD86	3	122055362	122121139	1	Ensembl REST lookup/id	GRCh38
ENSG00000152952	PLOD2	PLOD2	3	146035139	146163725	-1	Ensembl REST lookup/id	GRCh38
ENSG00000181631	P2RY13	P2RY13	3	151326312	151329549	-1	Ensembl REST lookup/id	GRCh38
ENSG00000169313	P2RY12	P2RY12	3	151336843	151384753	-1	Ensembl REST lookup/id	GRCh38
ENSG00000196549	MME	MME	3	155024124	155183803	1	Ensembl REST lookup/id	GRCh38
ENSG00000114805	PLCH1	PLCH1	3	155375580	155745085	-1	Ensembl REST lookup/id	GRCh38
ENSG00000169064	ZBBX	ZBBX	3	167239843	167407874	-1	Ensembl REST lookup/id	GRCh38
ENSG00000013297	CLDN11	CLDN11	3	170418865	170454733	1	Ensembl REST lookup/id	GRCh38
ENSG00000181449	SOX2	SOX2	3	181711925	181714436	1	Ensembl REST lookup/id	GRCh38
ENSG00000073849	ST6GAL1	ST6GAL1	3	186930325	187078932	1	Ensembl REST lookup/id	GRCh38
ENSG00000157005	SST	SST	3	187668912	187670394	-1	Ensembl REST lookup/id	GRCh38
ENSG00000114315	HES1	HES1	3	194136142	194138732	1	Ensembl REST lookup/id	GRCh38
ENSG00000068078	FGFR3	FGFR3	4	1793286	1808873	1	Ensembl REST lookup/id	GRCh38
ENSG00000152953	STK32B	STK32B	4	5051480	5500994	1	Ensembl REST lookup/id	GRCh38
ENSG00000163993	S100P	S100P	4	6693878	6697170	1	Ensembl REST lookup/id	GRCh38
ENSG00000174145	NWD2	NWD2	4	37244743	37449463	1	Ensembl REST lookup/id	GRCh38
ENSG00000134853	PDGFRA	PDGFRA	4	54229130	54298246	1	Ensembl REST lookup/id	GRCh38
ENSG00000157404	KIT	KIT	4	54657267	54740783	1	Ensembl REST lookup/id	GRCh38
ENSG00000056291	NPFFR2	NPFFR2	4	72031902	72148311	1	Ensembl REST lookup/id	GRCh38
ENSG00000156140	ADAMTS3	ADAMTS3	4	72280969	72569221	-1	Ensembl REST lookup/id	GRCh38
ENSG00000163734	CXCL3	CXCL3	4	74036589	74038807	-1	Ensembl REST lookup/id	GRCh38
ENSG00000124882	EREG	EREG	4	74365145	74388749	1	Ensembl REST lookup/id	GRCh38
ENSG00000138639	ARHGAP24	ARHGAP24	4	85475150	86002668	1	Ensembl REST lookup/id	GRCh38
ENSG00000152595	MEPE	MEPE	4	87821398	87846814	1	Ensembl REST lookup/id	GRCh38
ENSG00000109320	NFKB1	NFKB1	4	102500937	102617302	1	Ensembl REST lookup/id	GRCh38
ENSG00000168743	NPNT	NPNT	4	105894775	106004027	1	Ensembl REST lookup/id	GRCh38
ENSG00000188517	COL25A1	COL25A1	4	108808725	109302752	-1	Ensembl REST lookup/id	GRCh38
ENSG00000174607	UGT8	UGT8	4	114598374	114678588	1	Ensembl REST lookup/id	GRCh38
ENSG00000138653	NDST4	NDST4	4	114827763	115113876	-1	Ensembl REST lookup/id	GRCh38
ENSG00000164056	SPRY1	SPRY1	4	123396754	123403760	1	Ensembl REST lookup/id	GRCh38
ENSG00000145423	SFRP2	SFRP2	4	153780591	153789083	-1	Ensembl REST lookup/id	GRCh38
ENSG00000171509	RXFP1	RXFP1	4	158315311	158653372	1	Ensembl REST lookup/id	GRCh38
ENSG00000164128	NPY1R	NPY1R	4	163323962	163344852	-1	Ensembl REST lookup/id	GRCh38
ENSG00000145536	ADAMTS16	ADAMTS16	5	5140329	5320304	1	Ensembl REST lookup/id	GRCh38
ENSG00000112902	SEMA5A	SEMA5A	5	9035033	9546142	-1	Ensembl REST lookup/id	GRCh38
ENSG00000154162	CDH12	CDH12	5	21750673	22853344	-1	Ensembl REST lookup/id	GRCh38
ENSG00000113361	CDH6	CDH6	5	31193686	31329146	1	Ensembl REST lookup/id	GRCh38
ENSG00000151388	ADAMTS12	ADAMTS12	5	33523535	33892019	-1	Ensembl REST lookup/id	GRCh38
ENSG00000168685	IL7R	IL7R	5	35852695	35879603	1	Ensembl REST lookup/id	GRCh38
ENSG00000145649	GZMA	GZMA	5	55102646	55110252	1	Ensembl REST lookup/id	GRCh38
ENSG00000145708	CRHBP	CRHBP	5	76953044	76981158	1	Ensembl REST lookup/id	GRCh38
ENSG00000038427	VCAN	VCAN	5	83471618	83582303	1	Ensembl REST lookup/id	GRCh38
ENSG00000175426	PCSK1	PCSK1	5	96390333	96434143	-1	Ensembl REST lookup/id	GRCh38
ENSG00000145779	TNFAIP8	TNFAIP8	5	119268692	119399688	1	Ensembl REST lookup/id	GRCh38
ENSG00000113083	LOX	LOX	5	122063195	122078634	-1	Ensembl REST lookup/id	GRCh38
ENSG00000053108	FSTL4	FSTL4	5	133196455	133612688	-1	Ensembl REST lookup/id	GRCh38
ENSG00000145824	CXCL14	CXCL14	5	135570679	135579279	-1	Ensembl REST lookup/id	GRCh38
ENSG00000120708	TGFBI	TGFBI	5	136028988	136063818	1	Ensembl REST lookup/id	GRCh38
ENSG00000170458	CD14	CD14	5	140631728	140633700	-1	Ensembl REST lookup/id	GRCh38
ENSG00000170214	ADRA1B	ADRA1B	5	159865080	159973012	1	Ensembl REST lookup/id	GRCh38
ENSG00000184347	SLIT3	SLIT3	5	168661740	169301139	-1	Ensembl REST lookup/id	GRCh38
ENSG00000124785	NRN1	NRN1	6	5997999	6008688	-1	Ensembl REST lookup/id	GRCh38
ENSG00000112799	LY86	LY86	6	6588108	6654983	1	Ensembl REST lookup/id	GRCh38
ENSG00000197977	ELOVL2	ELOVL2	6	10980759	11044399	-1	Ensembl REST lookup/id	GRCh38
ENSG00000112149	CD83	CD83	6	14117256	14140682	1	Ensembl REST lookup/id	GRCh38
ENSG00000137393	RNF144B	RNF144B	6	18387346	18468874	1	Ensembl REST lookup/id	GRCh38
ENSG00000172201	ID4	ID4	6	19837366	19842197	1	Ensembl REST lookup/id	GRCh38
ENSG00000124766	SOX4	SOX4	6	21593751	21598619	1	Ensembl REST lookup/id	GRCh38
ENSG00000204655	MOG	MOG	6	29656598	29674431	1	Ensembl REST lookup/id	GRCh38
ENSG00000204472	AIF1	AIF1	6	31615217	31617021	1	Ensembl REST lookup/id	GRCh38
ENSG00000198502	HLA-DRB5	HLA-DRB5	6	32517345	32530369	-1	Ensembl REST lookup/id	GRCh38
ENSG00000196735	HLA-DQA1	HLA-DQA1	6	32628179	32647062	1	Ensembl REST lookup/id	GRCh38
ENSG00000242574	HLA-DMB	HLA-DMB	6	32934629	32941054	-1	Ensembl REST lookup/id	GRCh38
ENSG00000204257	HLA-DMA	HLA-DMA	6	32948613	32969094	-1	Ensembl REST lookup/id	GRCh38
ENSG00000095970	TREM2	TREM2	6	41158488	41163186	-1	Ensembl REST lookup/id	GRCh38
ENSG00000112715	VEGFA	VEGFA	6	43770184	43786487	1	Ensembl REST lookup/id	GRCh38
ENSG00000146070	PLA2G7	PLA2G7	6	46704201	46735718	-1	Ensembl REST lookup/id	GRCh38
ENSG00000244694	PTCHD4	PTCHD4	6	47856673	48111197	-1	Ensembl REST lookup/id	GRCh38
ENSG00000111799	COL12A1	COL12A1	6	75084326	75206267	-1	Ensembl REST lookup/id	GRCh38
ENSG00000118407	FILIP1	FILIP1	6	75291859	75493800	-1	Ensembl REST lookup/id	GRCh38
ENSG00000112394	SLC16A10	SLC16A10	6	111087503	111231194	1	Ensembl REST lookup/id	GRCh38
ENSG00000047936	ROS1	ROS1	6	117287353	117425942	-1	Ensembl REST lookup/id	GRCh38
ENSG00000152661	GJA1	GJA1	6	121435577	121449727	1	Ensembl REST lookup/id	GRCh38
ENSG00000172673	THEMIS	THEMIS	6	127708072	127918631	-1	Ensembl REST lookup/id	GRCh38
ENSG00000196569	LAMA2	LAMA2	6	128883138	129516566	1	Ensembl REST lookup/id	GRCh38
ENSG00000112319	EYA4	EYA4	6	133240514	133532128	1	Ensembl REST lookup/id	GRCh38
ENSG00000118503	TNFAIP3	TNFAIP3	6	137866383	137885836	1	Ensembl REST lookup/id	GRCh38
ENSG00000203727	SAMD5	SAMD5	6	147508690	147737547	1	Ensembl REST lookup/id	GRCh38
ENSG00000131016	AKAP12	AKAP12	6	151239936	151358563	1	Ensembl REST lookup/id	GRCh38
ENSG00000146469	VIP	VIP	6	152749922	152759765	1	Ensembl REST lookup/id	GRCh38
ENSG00000026297	RNASET2	RNASET2	6	166922113	166957448	-1	Ensembl REST lookup/id	GRCh38
ENSG00000146555	SDK1	SDK1	7	3301252	4269000	1	Ensembl REST lookup/id	GRCh38
ENSG00000136235	GPNMB	GPNMB	7	23235967	23275108	1	Ensembl REST lookup/id	GRCh38
ENSG00000086300	SNX10	SNX10	7	26291862	26374383	1	Ensembl REST lookup/id	GRCh38
ENSG00000255690	TRIL	TRIL	7	28953358	28958330	-1	Ensembl REST lookup/id	GRCh38
ENSG00000106536	POU6F2	POU6F2	7	38977909	39493095	1	Ensembl REST lookup/id	GRCh38
ENSG00000146674	IGFBP3	IGFBP3	7	45912245	45921874	-1	Ensembl REST lookup/id	GRCh38
ENSG00000146648	EGFR	EGFR	7	55018820	55211628	1	Ensembl REST lookup/id	GRCh38
ENSG00000135218	CD36	CD36	7	80369532	80679277	1	Ensembl REST lookup/id	GRCh38
ENSG00000004799	PDK4	PDK4	7	95583497	95597638	-1	Ensembl REST lookup/id	GRCh38
ENSG00000006128	TAC1	TAC1	7	97732053	97740472	1	Ensembl REST lookup/id	GRCh38
ENSG00000189056	RELN	RELN	7	103471381	103989658	-1	Ensembl REST lookup/id	GRCh38
ENSG00000091137	SLC26A4	SLC26A4	7	107660594	107717809	1	Ensembl REST lookup/id	GRCh38
ENSG00000105974	CAV1	CAV1	7	116524994	116561179	1	Ensembl REST lookup/id	GRCh38
ENSG00000106278	PTPRZ1	PTPRZ1	7	121873089	122062037	1	Ensembl REST lookup/id	GRCh38
ENSG00000135245	HILPDA	HILPDA	7	128455829	128458423	1	Ensembl REST lookup/id	GRCh38
ENSG00000257335	MGAM	MGAM	7	141907813	142106747	1	Ensembl REST lookup/id	GRCh38
